Регион,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Акмолинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Актюбинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Алматинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Атырауская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Восточно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Жамбылская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Западно-Казахстанская,168.0,115.8,156.6,270.0,289.0,308.1,255.1,230.7,153.6,131.8,43.34,61.11,71.81,67.86,47.874,58.92,56.667,58.17,72.513,21.2,7.94
Карагандинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Костанайская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Кызылординская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Мангыстауская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Павлодарская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Северо-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Южно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
