Регион,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Акмолинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Актюбинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Алматинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Атырауская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Восточно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Жамбылская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Западно-Казахстанская,0.086,0.044,0.046,0.042,0.039,0.048,0.032,0.017,0.018,0.019,0.017,0.014,0.014,0.017,0.014,0.005,0.0
Карагандинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Костанайская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Кызылординская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Мангыстауская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Павлодарская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Северо-Казахстанская,0.5884,0.53,0.52,1.533,1.33,0.457,0.47,0.848,1.12,0.723,0.481,0.384,0.339,0.17,0.043,0.01,0.0
Южно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
