Регион,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Акмолинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Актюбинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Алматинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Атырауская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Восточно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Жамбылская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Западно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Карагандинская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Костанайская,69.59,34.57,56.925,74.14,67.74,41.434,34.148,20.281,20.082,13.178,8.4,23.802,27.266,21.649,9.796,4.519,3.838
Кызылординская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Мангыстауская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Павлодарская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Северо-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Южно-Казахстанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
