year,temperature_2m,relative_humidity_2m,precipitation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1980,12.559672131147542,52.554535519125686,0.044285063752276865,14.640653460837887,14.42592213114754,0.2272709471766849,0.25524635701275045
1981,12.730706849315068,55.52637808219178,0.05904109589041096,13.837625570776256,13.82857305936073,0.23923196347031964,0.2701076484018265
1982,11.929424657534247,52.09583561643836,0.03578767123287671,13.880239726027396,13.626952054794522,0.2227337899543379,0.24882602739726026
1983,13.820252054794521,48.35350136986302,0.025422374429223744,15.429771689497716,15.140308219178083,0.18996278538812786,0.2196304794520548
1984,11.114535519125683,48.1668743169399,0.030954007285974496,13.350318761384335,13.14209927140255,0.21657012750455373,0.24458595173041897
1985,12.113216438356165,49.89368767123288,0.03332191780821918,13.885673515981734,13.531552511415525,0.20712100456621002,0.23751529680365296
1986,12.74187397260274,47.721534246575345,0.033105022831050226,14.425776255707763,14.126107305936072,0.19703618721461189,0.2256533105022831
1987,12.762564383561644,51.44316712328767,0.03720319634703196,13.995787671232877,13.836358447488584,0.2162772831050228,0.2488631278538813
1988,13.262732240437158,50.57558469945355,0.037978142076502734,14.878734061930784,14.678642987249544,0.20002083333333331,0.2343061247723133
1989,12.200438356164383,51.6722301369863,0.030719178082191784,14.212442922374429,14.06579908675799,0.20109497716894978,0.23214657534246577
1990,12.731101369863014,52.034400000000005,0.04165525114155251,14.592808219178082,14.395570776255708,0.22833755707762557,0.2556801369863013
1991,12.466860273972603,50.89333698630137,0.027819634703196344,14.780753424657533,14.560639269406392,0.19430445205479452,0.22785490867579908
1992,12.321005464480875,53.160754098360655,0.03903688524590164,13.608048724954463,13.4933970856102,0.21148747723132968,0.2400072859744991
1993,11.16692602739726,51.56277260273973,0.03565068493150685,13.581221461187214,13.428310502283106,0.20271415525114156,0.23275844748858446
1994,12.06938082191781,51.166673972602744,0.04017123287671233,14.668527397260274,14.498070776255709,0.21017694063926942,0.24359303652968037
1995,13.73412602739726,43.464602739726026,0.01672374429223744,15.249954337899544,15.039452054794522,0.16788858447488583,0.20945810502283105
1996,12.473092896174863,42.22702732240437,0.01984289617486339,13.95827641165756,13.69874772313297,0.16043055555555555,0.18647620673952642
1997,13.369435616438357,49.25083835616439,0.04154109589041095,15.24966894977169,15.122579908675798,0.20044726027397258,0.22223938356164383
1998,12.548745205479452,51.96564383561644,0.04252283105022831,14.494520547945205,14.385239726027397,0.20140216894977167,0.22927614155251141
1999,13.90477808219178,47.48890958904109,0.03371004566210046,15.421050228310502,15.165890410958905,0.19580091324200913,0.22248538812785387
2000,13.885224043715848,47.07432786885246,0.027561475409836066,15.368362932604738,15.154815573770492,0.18932957650273224,0.2190757058287796
2001,13.785950684931507,45.94691506849315,0.027579908675799087,15.518573059360731,15.238310502283106,0.19791164383561644,0.22439623287671234
2002,13.83254794520548,50.37449863013698,0.043070776255707766,15.350844748858448,15.278276255707764,0.2016585616438356,0.23550068493150683
2003,12.99117808219178,51.88893150684932,0.05873287671232877,14.083995433789955,13.990696347031964,0.2373377853881279,0.26438698630136986
2004,14.677464480874315,47.26525683060109,0.0341643897996357,15.878198998178506,15.677037795992714,0.2002198315118397,0.229430441712204
2005,14.15443287671233,47.682794520547944,0.034531963470319636,16.150194063926943,16.008333333333333,0.19440057077625572,0.23110433789954338
2006,13.593895890410959,48.41843287671233,0.03438356164383562,15.842248858447489,15.59527397260274,0.19966575342465756,0.22625205479452057
2007,14.347397260273972,45.94013150684932,0.032271689497716895,16.00181506849315,15.874977168949771,0.1932560502283105,0.22754429223744294
2008,13.947278688524591,46.548098360655736,0.021527777777777778,16.598406193078322,16.405919854280512,0.17824214480874317,0.21081375227686702
2009,14.041205479452055,49.26700273972603,0.042168949771689494,15.269680365296804,15.088687214611872,0.2100027397260274,0.23376107305936075
2010,15.0864,44.02906301369863,0.028904109589041098,16.293310502283106,16.14990867579909,0.18100536529680364,0.22119760273972602
2011,13.642860273972603,43.8713095890411,0.024166666666666666,15.608424657534245,15.389417808219177,0.17099885844748858,0.1986753424657534
2012,13.450546448087431,44.813071038251366,0.025796903460837885,15.450671675774137,15.213194444444445,0.18768488160291438,0.21860655737704918
2013,14.656449315068494,46.023178082191784,0.03418949771689498,16.27365296803653,16.01986301369863,0.1881769406392694,0.21939703196347032
2014,12.64798904109589,45.8090301369863,0.0332648401826484,14.621906392694063,14.410833333333333,0.21666952054794522,0.2456214611872146
2015,14.342104109589041,49.438969863013696,0.046529680365296804,15.864897260273972,15.600616438356164,0.21357077625570775,0.24178390410958905
2016,14.51086338797814,50.991639344262296,0.03853597449908926,15.74795081967213,15.595617030965391,0.21362773224043716,0.24380555555555558
2017,14.136800000000001,46.25003835616438,0.029292237442922378,14.96255707762557,14.934155251141553,0.22399349315068492,0.20701438356164384
2018,13.792339726027398,43.56313424657534,0.030433789954337903,14.697865296803654,14.560148401826483,0.22346038812785388,0.20759703196347032
2019,15.13361095890411,45.94837260273973,0.028184931506849316,16.146084474885846,15.939988584474884,0.21319406392694062,0.20560570776255707
2020,13.847169398907104,43.3959781420765,0.02484061930783242,15.076502732240437,15.009995446265936,0.19618647540983605,0.19054234972677594
2021,14.517698630136985,42.82049315068493,0.026255707762557076,15.265068493150684,15.024954337899544,0.20209977168949772,0.1862945205479452
2022,15.011791780821918,48.091331506849315,0.04468036529680366,15.89082191780822,15.698436073059359,0.2383714611872146,0.22892077625570775
2023,15.267934246575342,45.07431232876712,0.03517123287671233,16.070913242009134,15.738652968036531,0.2267340182648402,0.21116461187214614
2024,14.246054644808742,48.98575956284153,0.039014116575591985,15.102607012750454,15.001377504553735,0.2335488387978142,0.21981386612021858
2025,-1.0449142857142857,68.70479999999999,0.028214285714285713,-0.7986904761904762,-0.4247619047619048,0.3387904761904762,0.2944178571428571
